"year","event_id","state","month","event","injuries","deaths","damage","damage_num","damage_mod","begin_loc","end_loc","begin_lat","begin_lon","end_lat","end_lon","county","state_fips","county_fips","damage_cpi","CPI","cpi_adj"
1996,5544499,"West Virginia","January","Flood",0,0,"1.89M",1.89,"M","","",NA,NA,NA,NA,"Hancock",54,1,3057075,100,1.6175
1996,5554060,"Kentucky","May","Flash Flood",1,1,"10K",10,"K","Mt Sterling","Mt Sterling",NA,NA,NA,NA,"Montgomery",21,173,16175,100,1.6175
1996,5542734,"West Virginia","January","Flood",0,0,".1M",0.1,"M","","",NA,NA,NA,NA,"Summers",54,43,161750,100,1.6175
1996,5542304,"West Virginia","January","Flood",0,0,".2M",0.2,"M","","",NA,NA,NA,NA,"Pleasants",54,10,323500,100,1.6175
1996,5542305,"West Virginia","January","Flood",0,0,".25M",0.25,"M","","",NA,NA,NA,NA,"Tyler",54,11,404375,100,1.6175
1996,5542307,"West Virginia","January","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Wirt",54,105,8087.5,100,1.6175
1996,5544500,"West Virginia","January","Flood",0,0,"2.58M",2.58,"M","","",NA,NA,NA,NA,"Ohio",54,3,4173150,100,1.6175
1996,5544501,"West Virginia","January","Flood",0,0,".85M",0.85,"M","","",NA,NA,NA,NA,"Brooke",54,2,1374875,100,1.6175
1996,5544496,"West Virginia","January","Flash Flood",0,0,"40K",40,"K","Morgantown","Morgantown",NA,NA,NA,NA,"Monongalia",54,61,64700,100,1.6175
1996,5569770,"Kentucky","January","Flood",0,0,"20K",20,"K","","",NA,NA,NA,NA,"Lewis",21,100,32350,100,1.6175
1996,5561214,"West Virginia","June","Flash Flood",0,0,"25K",25,"K","Moorfield","Moorfield",NA,NA,NA,NA,"Hardy",54,31,40437.5,100,1.6175
1996,5555322,"West Virginia","May","Flash Flood",0,0,"5K",5,"K","Sw Portion","Sw Portion",NA,NA,NA,NA,"Hardy",54,31,8087.5,100,1.6175
1996,5553921,"Kentucky","May","Flash Flood",0,0,"50K",50,"K","Varney","Varney",NA,NA,NA,NA,"Pike",21,195,80875,100,1.6175
1996,5542299,"West Virginia","January","Flood",0,0,"50K",50,"K","","",NA,NA,NA,NA,"Wayne",54,5,80875,100,1.6175
1996,5542300,"West Virginia","January","Flood",0,0,"50K",50,"K","","",NA,NA,NA,NA,"Cabell",54,6,80875,100,1.6175
1996,5542301,"West Virginia","January","Flood",0,0,".15M",0.15,"M","","",NA,NA,NA,NA,"Mason",54,7,242625,100,1.6175
1996,5542302,"West Virginia","January","Flood",0,0,".1M",0.1,"M","","",NA,NA,NA,NA,"Jackson",54,8,161750,100,1.6175
1996,5540115,"Alabama","February","Flash Flood",0,0,"12K",12,"K","Countywide","Countywide",NA,NA,NA,NA,"Bibb",1,7,19410,100,1.6175
1996,5555568,"West Virginia","May","Flood",0,0,"10K",10,"K","","",NA,NA,NA,NA,"Preston",54,23,16175,100,1.6175
1996,5555569,"West Virginia","May","Flash Flood",0,0,"5K",5,"K","Newell","Newell",NA,NA,NA,NA,"Hancock",54,29,8087.5,100,1.6175
1996,5567868,"Kentucky","May","Flash Flood",0,0,"5K",5,"K","Florence","Walton",NA,NA,NA,NA,"Boone",21,15,8087.5,100,1.6175
1996,5544527,"West Virginia","January","Flood",0,0,"1.7M",1.7,"M","","",NA,NA,NA,NA,"Tucker",54,41,2749750,100,1.6175
1996,5542294,"West Virginia","January","Flood",0,0,".3M",0.3,"M","","",NA,NA,NA,NA,"Nicholas",54,37,485250,100,1.6175
1996,5542295,"West Virginia","January","Flood",0,0,".3M",0.3,"M","","",NA,NA,NA,NA,"Webster",54,38,485250,100,1.6175
